vehicle_id,Curb_Weight,year
21997,2126.0,2013
22004,1287.0,2013
22008,1720.0,2013
22010,1074.0,2013
22012,1072.0,2013
22016,1093.0,2013
22022,1295.3704072255264,2013
22030,1748.0,2013
22032,2521.0,2013
22033,1133.0,2013
22041,1747.0,2013
22043,1098.0,2013
22045,2021.0,2013
22049,2580.0,2013
22050,2055.0,2013
22058,2050.0,2013
22074,2009.0,2013
22075,1105.0,2013
22088,1775.0,2013
22092,1870.0,2013
22093,1029.0,2013
22099,1980.0,2013
22100,1990.0,2013
22101,1475.0,2013
22103,2285.0,2013
22104,1273.0,2013
22112,1695.0,2013
22114,2021.0,2013
22115,1873.0,2013
22116,2522.0,2013
22122,1715.0,2013
22131,2009.0,2013
22132,1735.0,2013
22133,2109.0,2013
22134,1660.0,2013
22137,1251.0,2013
22138,1717.0,2013
22139,1664.0,2013
22140,1475.0,2013
22146,1820.0,2013
22149,1521.0,2013
22156,2599.0,2013
22157,1625.0,2013
22159,1320.0,2013
22160,1320.0,2013
22171,1881.0,2013
22172,1259.0,2013
22177,2109.0,2013
22188,1884.0,2013
22195,1884.0,2013
22201,2000.0,2013
22204,2608.0,2013
22207,2606.0,2013
22209,1695.0,2013
22219,2116.0,2013
22221,2483.0,2013
22222,1589.0,2013
22223,1920.0,2013
22224,1630.0,2013
22225,1856.0,2013
22228,1881.0,2013
22231,1310.0,2013
22233,1883.0,2013
22234,2216.0,2013
22238,1856.0,2013
22239,1650.0,2013
22250,1672.9649057727936,2013
22252,1640.0,2013
22259,1881.0,2013
22260,1901.0,2013
22261,1635.0,2013
22265,1255.0,2013
22277,1310.0,2013
22281,1892.0,2013
22284,1939.0,2013
22285,1916.0,2013
22288,1241.0,2013
22299,1613.0,2013
22300,1439.0,2013
22304,1836.0,2013
22309,1605.0,2013
22311,1642.0,2013
22312,950.0,2013
22317,1405.0,2013
22324,1732.0,2013
22325,1839.0,2013
22327,1613.0,2013
22328,1776.0,2013
22329,1462.0,2013
22332,1420.0,2013
22336,1070.0,2013
22343,1343.0,2013
22345,1655.0,2013
22352,1590.0,2013
22357,1425.0,2013
22377,1861.0,2013
22379,1504.0,2013
22386,1495.0,2013
22387,2256.0,2013
22389,970.0,2013
22390,1337.0,2013
22399,1310.0,2013
22401,1310.0,2013
22405,1630.0,2013
22408,1711.0,2013
22415,1600.0,2013
22416,1485.0,2013
22417,1414.0,2013
22418,1495.0,2013
22420,1817.0,2013
22437,1850.0,2013
22442,1405.0,2013
22443,1679.0,2013
22444,1364.0,2013
22446,1869.0,2013
22448,1869.0,2013
22449,1785.0,2013
