vehicle_id,Curb_Weight,Price_USD,year
744,2593.94982,45210.58824,2010
745,2472.434549,41490,2010
746,2620.124404,45668.45659,2010
747,2471.797329,43462.01923,2010
748,2571.958454,43364.44816,2010
749,2626.84667,48364.92537,2010
750,2556.590125,42318.06818,2010
751,2448.482973,38165,2010
752,2471.104092,47552.04268,2010
753,2435.579649,45181.93258,2010
754,2605.565834,50920,2010
758,1413,18895,2010
759,1413,18695,2010
760,1410,18665.73643,2010
761,1410,18557.84091,2010
762,1394,19620,2010
763,1394,19620,2010
764,1393,19365,2010
765,1393,19365,2010
777,2574,39486.97581,2010
778,2616,42120.32448,2010
779,1428,24485,2010
781,1437,22800,2010
782,1437,23330,2010
788,1510,26235,2010
790,1509,21570,2010
791,1509,25905,2010
792,1509,25080,2010
793,1280,18195,2010
794,1509,24550,2010
795,1504,25650,2010
796,1499,26235,2010
797,1479,21910,2010
798,1479,20645,2010
799,1475,21735,2010
800,1475,20516.52672,2010
801,1462,21315,2010
802,1461,21570,2010
803,1441,23925,2010
804,1437,23900,2010
805,1504,26425,2010
806,1324.856885,19295,2010
807,1387.923857,16700,2010
809,1800.054589,31513.19018,2010
810,1884.784284,34570,2010
811,1776.014947,28100,2010
812,1855.276079,29550,2010
813,1851.973438,32480,2010
814,1952.107551,33930,2010
815,1939.732298,30725,2010
816,2058.44358,32242.5,2010
817,2114.790989,32901.25,2010
818,2181.972175,35833.33333,2010
819,2141.80602,33220,2010
820,2225.945127,35592.5,2010
821,1741.431642,27395,2010
822,1824.700052,29095,2010
823,1954.777483,37200,2010
824,2163.81648,30625,2010
825,2212.791726,32625,2010
826,2149.348605,29215,2010
827,2253.544218,31215,2010
828,2013.029154,30590.29412,2010
829,2077.754032,32719.64286,2010
830,1878.521695,37375,2010
831,2001.505179,30625,2010
832,1945.793927,33620.72257,2010
833,1888.116575,25253.42105,2010
834,1856.420636,21545,2010
835,1855.561136,22645,2010
836,1954.814976,24645,2010
837,1849.935257,28993.93287,2010
838,1997.742617,27595,2010
839,2067.120767,35345,2010
840,1978.61909,36029.49744,2010
841,2062.350327,37629.87032,2010
842,1973.864964,26418.6,2010
843,2047.341945,28079.125,2010
844,1918.608859,32495,2010
845,1970.329748,31568.52941,2010
846,1979.841248,30616.12676,2010
847,2033.331819,33283.88889,2010
848,1983.625092,30005,2010
849,2035.270747,30045,2010
850,2035.395747,31562,2010
851,2028.984783,35895,2010
852,1847.125008,27735,2010
853,1900.546756,29395,2010
854,1961.173737,26665,2010
855,1863.596315,30380.04014,2010
856,2081.128243,32760,2010
857,2088.548332,33473.75,2010
858,2027.243491,31259.44444,2010
859,2021.486315,35590,2010
860,2086.561543,37725,2010
861,1646,29570,2010
862,1917.710947,38175.22077,2010
863,1987.726751,43199.89083,2010
864,1646,24970,2010
866,1644,35285,2010
867,2265.976323,48600,2010
868,2424.907086,58200,2010
869,2018.922516,37220,2010
870,2099.65705,39310,2010
871,2016.189855,30710,2010
872,2100.810383,32680,2010
873,2181.345901,29380,2010
874,2137.014872,31265,2010
875,2235.062552,45000,2010
876,2355.442988,43550,2010
877,1788.753359,28376.27273,2010
878,1880.904901,29586.68473,2010
879,2171.244263,31245,2010
880,2086.561543,39330,2010
881,2021.486315,37195,2010
882,2128.89381,40745,2010
883,2017.542684,38745,2010
884,2122.856645,34502.4493,2010
885,2167.718892,34450,2010
886,2209.453075,36502.43553,2010
887,2214.714972,36450,2010
888,2148.682101,34189.11856,2010
889,2254.269964,36125.5845,2010
890,2157.385199,36109.96016,2010
891,2242.057345,38108.9196,2010
893,2057.046369,30187.5,2010
894,1744.171959,26482.96193,2010
895,2146.094059,34916.25,2010
896,2104.811027,38490,2010
897,1729.135196,34727.71084,2010
898,1798.364242,36118.11024,2010
899,2152.472131,38670,2010
900,2219.525843,41705,2010
901,1651,37000,2010
902,1650,45900,2010
903,2105.999082,31880,2010
904,2106.889082,37780,2010
906,2164.007995,39180,2010
907,2003.120522,28655,2010
908,1836.645494,28101.06586,2010
909,1837.864359,29830.57047,2010
911,1547.429437,22542.5,2010
912,1631.662352,23798.33333,2010
913,1548.652916,22555,2010
914,1834.601088,23065,2010
915,1930.928396,25449.98599,2010
916,1978.160867,26564.02439,2010
918,1893.096023,25955,2010
919,1654.219584,24282.33333,2010
920,1745.745241,25630.25,2010
921,1552.765938,23055,2010
922,1626.906104,24805,2010
923,1544.340425,24681.42857,2010
924,1633.81603,26511.66667,2010
925,1540.853644,23660,2010
926,1622.456958,25410,2010
928,1801.894065,28935,2010
929,1795.974065,27383.27586,2010
930,1897.116023,30935,2010
932,1894.216023,29268.33333,2010
933,1590.979993,28348.4763,2010
934,1696.135464,24820,2010
935,1582.874151,25884.67548,2010
936,1513.047325,24765,2010
937,1582.400595,26515,2010
938,1558.780527,25192.5,2010
939,1546.145418,22195,2010
940,1606.218474,24013.67816,2010
941,1600.916596,20968.63636,2010
